Entity,languages,Affiliation,English,Spanish,EN_sentiment,ES_sentiment,sentimentDiff_EN-ES,sentimentDiff_ES-EN
Florida Education Association (FEA),en,R,Gov. Ron DeSantis is covering up Covid-19 cases in Florida’s schools. His administration has directed school districts not to release data and is claiming that even knowing the number of students and staff infected in “confidential” information. Contact the governor TODAY and tell him to stop hiding Covid-19 data about our schools. Head over to https://feaweb.org/.,Gov. Ron DeSantis hat die Fälle von,2.6286,3.3391,-0.7105000000000001,0.7105000000000001
Michigan Capitol Confidential,en,R,"On Sept. 9, Gov. Gretchen Whitmer issued her 180th executive order of 2020. It clarified details and issues related to a previous order requiring face mask use in high school sports.\n\nAthletes participating in school football, soccer or volleyball will still have to wear a face mask while on the field, the new order specifies.\n\nWhile direct comparisons may not tell the whole story, Whitmer has issued more than five times the number of executive orders in 2020 than the 35 issued by Ohio's governor.\n\nOne state has surpassed Michigan in the number of EOs in 2020: Florida Gov. Ron DeSantis has issued 214 executive orders this year.","en to es on sept. 9, Gov. Gretchen Whitmer a",2.6424,3.0324,-0.3900000000000001,0.3900000000000001
VIDA Voices,en,R,"Florida Gov. Ron DeSantis vetoed a bill that would have banned the sale of flavored nicotine vapor products. \n\nIn this THR Update, Dom Garrett breaks down the bill, what Gov. DeSantis said about it, and what this means for other similar bills across the United States.",Florida Gov. Ron DeSantis hat ein Vet,1.6241,3.3256,-1.7015,1.7015
To Be Frank Show,en,R,"Today Frank talks about Desantos, Cuomo, the NFL's current position during COVID, current riots in Rochester, Lovely Warren, Joe Biden, Trump, and the current status of schools being forced to reopen during COVID.","en to es he talks about Desantos, Cuomo",3.7145,3.1575,0.5569999999999999,-0.5569999999999999
All Voting Is Local,en,R,"Voting by mail is your RIGHT. But amid the COVID-19 pandemic, some state and local officials aren’t removing barriers to the ballot, which will lead some to choose between their health and voting. Join Kerry Washington, All Voting is Local, and advocates for a discussion about the need for vote by mail, how one Florida decision-maker is trying to silence voters, and what we must do now to ensure our voices are heard in this watershed year.","en to es to es, Voting by mail is your RIGHT",3.2654,4.1066,-0.8412000000000002,0.8412000000000002
Florida Daily,en,R,"Florida Daily TV - Episode 14: Florida Political News. FloridaDaily.com publisher Ed Dean discusses COVID and Florida Schools, as well as minimum wage, with guests Brian Burgess from The Capitolist (TheCapitolist.com) and Claire Goforth from the The Daily Dot (DailyDot.com)",Florida Daily TV - Episode 14: Florida Political News.,3.3195,3.3954,-0.07589999999999986,0.07589999999999986
Chris King,en,R,Two dynamic candidates from Miami-Dade working to FLIP the Florida House join Chris King for a live discussion about all things campaign 2020.,"De es: Zwei dynamische Kandidaten aus Miami-Dade,",3.5562,3.2081,0.3481000000000001,-0.3481000000000001
Florida Springs Council,en,R,"Today the Florida Springs Council sent a letter to Governor Ron DeSantis calling on him to comply with Florida law and appoint qualified applicants to the Governing Boards of the Water Management Districts, currently crippled by vacancies and dominated by representatives of development and agriculture. \n\nNow it's YOUR turn. Read the letter here, and send your own message to the governor.\nhttps://www.floridaspringscouncil.org/deardesantisfollowthelaw",en to es en to es en to es,3.1796,3.1241,0.05550000000000033,-0.05550000000000033
National Bar Owners Association,en,R,"Bar Owners! It's never been more important to be part of the NBOA. Your membership helps us continue to fight for Bar Owners rights. With law suits filed and more on the way, now is the time to be part of an organization whose sole purpose is fighting for you. To Join Today, visit WWW.NBOA.HELP",en to es to es en to es en to,4.5736,2.973,1.6006,-1.6006
Florida Progressives,en,R,"Teachers are afraid to return to classrooms because of the looming threat of COVID-19. As an act of protest, one teacher shared her own obituary on Facebook. But Florida GOP Governor Ron DeSantis is still pressuring our schools to reopen without protecting our teachers or our kids!",en to es en to es en to es teachers,2.0262,3.5391,-1.5129000000000001,1.5129000000000001
Dane Eagle,en,R,In case you missed it: I joined Fox and Friends this morning to discuss the reasons I’m running for Congress and the importance of sending a homegrown conservative to represent us in Washington. I hope I earned your vote today!,In case you missed it: I joined Fox and Friends today,4.2727,4.1797,0.09299999999999997,-0.09299999999999997
Ray Sandelli,en,R,"It's time to vote! The polls are open from 7 am to 7 pm, and I hope I've earned your support in our campaign to bring common sense policy and conservative leadership to Lee County. \n\nThis is your last chance to vote, so make your voice heard!","en to es, en to es, en to e",4.4579,2.9917,1.4662000000000006,-1.4662000000000006
Blanco for Congress,en,R,My Republican Primary opponent — the same person who voted for Hillary Clinton over Donald Trump in 2016 — continues to spread misinformation to deflect from issues facing District 26. I did not support Andrew Gillum for Governor. I voted for Ron DeSantis and for President Donald Trump. Can Carlos Giménez say the same?\n\nSHARE this and spread the word! #BlancoForCongress,en to es en to es My Republican Primary opponent — the,1.9006,3.5271,-1.6264999999999998,1.6264999999999998
Jason Maughan For Sanibel City Council,en,R,I humbly ask for your vote as the Strong Trump Conservative who gets results! Vote Republican 🇺🇸 Jason Maughan for House District 76! 🇺🇸 #votejasonmaughan,"Ich bitte um Ihre Stimme als Strong Trump Conservative, der Ergebnisse",3.3384,3.3853,-0.04689999999999994,0.04689999999999994
Manasota Republicans & Independents Voting Blue,en,R,"Continuing his push to reopen schools Friday during an event in Sarasota, Gov. Ron DeSantis said schools shouldn't be quick to shut down again if they have a coronavirus infection.","De  Während seines Vorstoßes, die Schul",3.4117,2.6593,0.7524000000000002,-0.7524000000000002
Amanda Makki for Congress,en,R,An important question to ask any candidate asking for your vote: What have they done to give back to your community? Watch here to see the answer that could send the right person to Congress this election.,"Eine wichtige Frage, die jeder Kandidat, der um Ihre",3.3921,4.2866,-0.8944999999999999,0.8944999999999999
,en,R,Early Voting Has Begun!  Click the link below for info. I humbly ask for your vote!  #votejasonmaughan\nhttps://www.lee.vote/Election-Information/Early-Voting-Information,en to es en to es en to es,3.0123,3.1241,-0.11179999999999968,0.11179999999999968
Alex Andrade,en,R,"It’s impossible to put everything you’ve done in a 15 second ad. It’s why I love when constituents call me. If you’d like to know more about what I’ve done and what I want to continue doing for you, please give me a call. My personal phone number is on my website: VoteAndrade.com","De  Es ist unmöglich, alles, was Sie getan",2.6943,3.7987,-1.1044,1.1044
FreedPromise.com,en,R,"Under Sheriff Sadie Darnell there has existed a culture of abuse within the ACSO\n\nBecause of this as well as the Whistleblower documentation, The Freed Promise Project asks you to sign our petition and automatically email Sadie Darnell to demand an Independent Investigation into rampant abuse by her Alachua County Sheriff’s Department.\n\nIf she has nothing to hide, why does she refuse?",en to es sarif Sadie Darnell a existat,2.1126,2.3288,-0.21620000000000017,0.21620000000000017
Ray Sandelli,en,R,Vote early today for the only candidate appointed by Governor DeSantis!,de la es en la es Votez early today for the only,2.646,2.5964,0.049599999999999866,-0.049599999999999866
Miami's Community Newspapers,en,R,Grant Miller goes live with Radio Personality Andy Korge!,de to es: Grant Miller goes live with Radio Personality Andy Korge!,4.252,3.7621,0.48989999999999956,-0.48989999999999956
Ray Sandelli,en,R,I'm honored that Governor Ron DeSantis appointed me to the Lee County Commission. Now I'm ready to continue building on the important work we've already started!,"Ich bin froh, dass mich Governor Ron DeS",4.6737,4.3454,0.3283000000000005,-0.3283000000000005
Areva Martin,en,R,The Special Report: Voter Suppression and the 2020 Election,The Special Report: Voter Suppression and the 2020,3.1612,3.3263,-0.1650999999999998,0.1650999999999998
"Marcus Chambers, Superintendent of Okaloosa County Schools",en,R,"Conservative Marcus Chambers will fight for Okaloosa schools. Marcus is a lifelong educator appointed by Governor Ron DeSantis. Marcus fought to eliminate Common Core and boost teacher pay, and he will keep our schools A-rated. Marcus stands with President Trump to keep our schools great.",en to es en to es en to es,4.0638,3.1241,0.9396999999999998,-0.9396999999999998
The Common Ground Project,en,R,"Floridians are in crisis: out of work, trying to avoid a deadly virus, and struggling to make ends meet. Now they have to worry about being thrown onto the street.","Floridians are in crisis: out of work,",2.9563,1.7901,1.1662000000000001,-1.1662000000000001
Byron Donalds,en,R,"People are raising questions about the groups that are supporting my campaign. In my campaign, I have personally raised $1.2MM from more than 10,000 donors. The average contribution is around $100. My campaign is also supported by the Club for Growth. The Club for Growth supports conservatives for Congress who have shown that they will stand up to Republican leadership. The Club for Growth is currently spending $5 million on TV and digital ads to help get President Trump re-elected, so those “CFG are never Trump” claims are patently false! Club for Growth are $5mil (and growing) PRO-Trump! They have supported Ted Cruz, Mike Lee, and Ron DeSantis. Now they support me. Casey Askar and his crew are mad, because they thought they could spend $3.5MM and just buy the seat, the same way its happened the last 2 times. Now they are crying and lying because of the CFG. The CFG supported Ted Cruz for President in 2016 but are now firmly Pro-Trump. All the candidates running in FL-19 went through interviews with CFG and their vetting process. Every candidate wanted their support. The interview is about 1.5 hours. I didn't prepare or go through some study session with my political team to earn their support. I wanted them to know me and what I thought. Based upon that, they decided to support me. Last thing I will say is the CFG is made up of thousands of conservative donors from across America. The voters in FL-19 have a choice, another self-funder with $3MM and cool ads, or a Tea Party conservative, who has served in the FL legislature, who always stands with the constitution, and now has an outside group that has always supported conservative candidates, supporting me.",to es. People are raising questions about the groups that are supporting my campaign.,2.9599,3.249,-0.2890999999999999,0.2890999999999999
To Be Frank Show,en,R,"Today, Frank talks COVID-19, NBA & Ted Cruz, Chicago Unrest, and kids going back to school with his special guest Krystal Hurst of the  Dallas Moms and Collin County Moms. \n\n#tobefrank #business #tobefrankshow #frankzaccanelli #politics #sports #america #news #media #china #asia #japan #europe #italy #spain #nba #dallasmavericks #podcast #tv #digitaltv #broadcast #realnewscommunicationsnetwork #rncn #covid19 #coronavirus #dallasmoms","Heute spricht Frank COVID-19, NBA",3.35,3.5008,-0.15079999999999982,0.15079999999999982
Florida Daily,en,R,"FloridaDaily.com publisher Ed Dean and editor Kevin Derby discuss Florida's latest political news stories, including the 2020 primary and general elections, as well as Joe Biden vs Trump Florida polling.",De to es: FloridaDaily.com publisher Ed Dean and editor Kevin Derby,3.5028,3.0031,0.49970000000000026,-0.49970000000000026
